"lakeid","year4","daynum","sampledate","depth","rep","sta","event","ph","phair","alk","dic","tic","doc","toc","no3no2","no2","nh4","totnf","totnuf","totpf","totpuf","drsif","brsif","brsiuf","tpm","totnuf_sloh","no3no2_sloh","nh4_sloh","kjdl_n_sloh","totpuf_sloh","drp_sloh","drsif_sloh","flagdepth","flagph","flagphair","flagalk","flagdic","flagtic","flagdoc","flagtoc","flagno3no2","flagno2","flagnh4","flagtotnf","flagtotnuf","flagtotpf","flagtotpuf","flagdrsif","flagbrsif","flagbrsiuf","flagtpm","flagtotnuf_sloh","flagno3no2_sloh","flagnh4_sloh","flagkjdl_n_sloh","flagtotpuf_sloh","flagdrp_sloh","flagdrsif_sloh","kz","flux"
"ME",2014,134,2014-05-14,4,1,1,NA,8.21,8.38,NA,38.08,41.69,4.57,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0,0.73,0.08,0.02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","S","Q","Q","Q","Q",3.16e-05,""
"ME",2014,134,2014-05-14,8,1,1,NA,8.17,8.34,NA,39.4,38.64,4.47,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08e-05,""
"ME",2014,134,2014-05-14,12,1,1,NA,8.03,8.33,NA,37.2,38.74,4.6,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32e-05,""
"ME",2014,134,2014-05-14,16,1,1,NA,7.65,8.24,NA,39.06,41.56,4.58,4.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95e-05,""
"ME",2014,134,2014-05-14,20,1,1,NA,7.63,8.18,NA,41.71,42.75,4.59,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.14,0.73,0.09,0.05,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q","Q",3.69e-05,""
"ME",2014,160,2014-06-09,4,1,1,NA,8.39,8.38,NA,41.81,42.83,4.97,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.05,0.8,0.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,1.49e-05,""
"ME",2014,160,2014-06-09,8,1,1,NA,8.15,8,NA,45.34,45.62,4.7,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.21,0.85,0.06,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,1.07e-05,""
"ME",2014,160,2014-06-09,10,1,1,NA,8.04,7.93,NA,44.54,48.48,4.41,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.25,0.83,0.08,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,1.04e-05,""
"ME",2014,160,2014-06-09,12,1,1,NA,7.95,7.89,NA,48.1,45.55,4.38,4.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.24,0.83,0.08,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,1.02e-05,""
"ME",2014,160,2014-06-09,14,1,1,NA,7.88,7.82,NA,52.27,44.8,4.48,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.33,0.89,0.1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,8.47e-06,""
"ME",2014,160,2014-06-09,16,1,1,NA,7.82,7.77,NA,46.34,48.55,4.48,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0.33,0.96,0.1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,8.72e-06,""
"ME",2014,160,2014-06-09,18,1,1,NA,7.76,7.75,NA,47.3,46.66,4.45,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.41,0.99,0.12,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,1.07e-05,""
"ME",2014,160,2014-06-09,20,1,1,NA,7.65,7.72,NA,49.35,44.9,4.48,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.55,1.12,0.16,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,1.06e-05,""
"ME",2014,160,2014-06-09,22,1,1,NA,7.63,7.63,NA,45.69,50.24,4.46,4.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.57,1.19,0.17,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,6.97e-06,""
"ME",2014,174,2014-06-23,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.07,0.94,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","S",NA,1.73e-05,""
"ME",2014,188,2014-07-07,4,1,1,NA,8.91,8.84,NA,35.35,36.2,4.74,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.02,0.84,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","S",NA,4.13e-05,""
"ME",2014,188,2014-07-07,8,1,1,NA,8.31,8.54,NA,38.96,41.85,4.38,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.23,0.69,0.03,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,6.92e-05,""
"ME",2014,188,2014-07-07,10,1,1,NA,7.87,8.44,NA,43.9,50.83,4.2,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.24,0.65,0.08,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,7.71e-05,""
"ME",2014,188,2014-07-07,12,1,1,NA,7.74,8.44,NA,43.1,49.56,4.39,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.13,0.61,0.12,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,7.85e-05,""
"ME",2014,188,2014-07-07,14,1,1,NA,7.68,8.43,NA,43.72,46.76,4.49,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.24,0.82,0.16,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,7.56e-05,""
"ME",2014,188,2014-07-07,16,1,1,NA,7.6,8.41,NA,44.52,47.54,4.31,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.55,1.19,0.22,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,6.63e-05,""
"ME",2014,188,2014-07-07,18,1,1,NA,7.56,8.43,NA,45.17,53.04,4.26,4.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.86,1.39,0.28,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q",NA,5.28e-05,""
"ME",2014,188,2014-07-07,20,1,1,NA,7.59,8.39,NA,44.45,48.32,4.09,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.97,1.46,0.3,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","Q","Q","Q","Q",NA,4.57e-05,""
"ME",2014,188,2014-07-07,22,1,1,NA,7.61,8.41,NA,52.52,44.64,4.21,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.09,1.56,0.31,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","Q","Q","Q","Q",NA,3.89e-05,""
"ME",2014,202,2014-07-21,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03,0.82,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","Q","Q","Q","S",NA,5.07e-05,""
"ME",2014,216,2014-08-04,4,1,1,NA,8.85,8.89,3291,35.88,35.98,4.74,5.06,NA,NA,NA,478,628,11,29,507,NA,NA,NA,NA,0,0,0.83,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","S",NA,NA,"S",NA,2.01e-05,""
"ME",2014,216,2014-08-04,6,1,1,NA,8.73,8.79,3345,40.23,36.95,4.64,4.79,NA,NA,NA,471,985,10,32,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,"E",NA,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35e-05,""
"ME",2014,216,2014-08-04,8,1,1,NA,8.45,8.61,3401,39.02,41.44,4.5,4.59,NA,NA,NA,549,599,10,26,545,NA,NA,NA,NA,0.05,0.05,0.78,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,1.13e-05,""
"ME",2014,216,2014-08-04,10,1,1,NA,7.74,8.4,NA,47.21,47.52,4.66,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.19,0.86,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,1.06e-05,""
"ME",2014,216,2014-08-04,12,1,1,NA,7.64,8.43,3841,52.05,46.52,4.55,4.76,NA,NA,NA,1266,1270,87,93,655,NA,NA,NA,NA,0.51,0.33,1,0.1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02e-05,""
"ME",2014,216,2014-08-04,14,1,1,NA,7.59,8.35,NA,50.02,49.19,4.27,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.51,1.07,0.16,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36e-06,""
"ME",2014,216,2014-08-04,16,1,1,NA,7.56,8.48,3950,49.92,51.98,4.57,4.68,NA,NA,NA,1388,1431,242,243,1045,NA,NA,NA,NA,0.03,0.89,1.5,0.25,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7e-06,""
"ME",2014,216,2014-08-04,18,1,1,NA,7.55,8.31,NA,52.56,50.02,4.65,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.19,1.73,0.29,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA,8.08e-06,""
"ME",2014,216,2014-08-04,20,1,1,NA,7.5,8.38,3728,51.71,52.39,4.53,4.53,NA,NA,NA,2133,2162,368,382,1438,NA,NA,NA,NA,0,1.66,2.27,0.38,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA,6.91e-06,""
"ME",2014,216,2014-08-04,22,1,1,NA,7.5,8.33,4037,56.98,55.5,4.55,4.75,NA,NA,NA,2255,2261,385,394,1453,NA,NA,NA,NA,0,1.76,2.38,0.39,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA,9.22e-06,""
"ME",2014,232,2014-08-20,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.84,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","S",NA,NA,"S",NA,4.3e-05,""
"ME",2014,245,2014-09-02,4,1,1,NA,8.79,8.78,NA,36.95,35.24,4.81,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.68,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","S",NA,NA,"S",NA,6.04e-05,""
"ME",2014,245,2014-09-02,8,1,1,NA,8.76,8.75,NA,35.76,36.39,4.77,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.81,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","S",NA,NA,"S",NA,0.000138,""
"ME",2014,245,2014-09-02,10,1,1,NA,7.77,8.48,NA,40.89,44.26,4.64,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.32,0.88,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,"S",NA,0.000111,""
"ME",2014,245,2014-09-02,12,1,1,NA,7.62,8.43,NA,48.37,50.24,4.69,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.74,1.29,0.12,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA,3.59e-05,""
"ME",2014,245,2014-09-02,14,1,1,NA,7.59,8.36,NA,41.25,48.19,4.66,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.79,1.35,0.17,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA,2.42e-05,""
"ME",2014,245,2014-09-02,16,1,1,NA,7.53,8.45,NA,48.7,55.7,4.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.19,1.59,0.26,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA,2.31e-05,""
"ME",2014,245,2014-09-02,18,1,1,NA,7.48,8.39,NA,54.81,46.92,4.63,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.47,2.09,0.32,0.29,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA,3.63e-05,""
"ME",2014,245,2014-09-02,20,1,1,NA,7.46,8.38,NA,48.03,54.07,4.78,5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.79,2.23,0.37,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA,0.000196,""
"ME",2014,245,2014-09-02,22,1,1,NA,7.43,8.37,NA,49.07,49.16,4.79,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.12,2.59,0.44,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA,0.000565,""
"ME",2014,271,2014-09-28,4,1,1,NA,8.78,8.79,NA,35.89,39.12,4.44,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74e-05,""
"ME",2014,271,2014-09-28,8,1,1,NA,8.63,8.65,NA,36.82,37.93,4.36,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99e-05,""
"ME",2014,271,2014-09-28,20,1,1,NA,7.37,8.28,NA,55.5,57.32,4.4,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83e-09,""
"ME",2014,303,2014-10-30,4,1,1,NA,8.16,8.33,3359,32.21,53.68,4.16,4.75,NA,NA,NA,908,982,77,91,423,NA,NA,NA,NA,0.04,0.38,1.02,0.09,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42e-05,""
"ME",2014,303,2014-10-30,8,1,1,NA,8.14,8.31,NA,46.06,50.95,4.41,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77e-05,""
"ME",2014,303,2014-10-30,20,1,1,NA,8.08,8.29,3652,46.61,46.95,4.26,4.34,NA,NA,NA,881,949,70,96,450,NA,NA,NA,NA,0.05,0.4,0.95,0.1,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000288,""
"ME",2015,42,2015-02-11,4,1,1,NA,8.14,8.24,NA,45.12,46.22,4.39,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,0.394,0.279,0.938,0.092,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q","Q",NA,2.2e-12,""
"ME",2015,42,2015-02-11,8,1,1,NA,8.11,8.22,3837,37.4,38.19,4.67,4.75,NA,NA,NA,1095,1101,79,93,21,NA,NA,NA,1.31,0.395,0.276,0.923,0.091,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q","Q",NA,1.05e-12,""
"ME",2015,42,2015-02-11,12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,0.433,0.278,0.722,0.094,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q","Q",NA,1.02e-10,""
"ME",2015,42,2015-02-11,16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,0.648,0.512,1.23,0.14,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q","Q",NA,1.85e-08,""
"ME",2015,42,2015-02-11,20,1,1,NA,7.61,8.13,4284,41.65,43.24,4.34,4.41,NA,NA,NA,2210,2605,219,256,1297,NA,NA,NA,2.5,0.844,0.839,1.68,0.239,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Q","Q","Q","Q","Q",NA,1.16e-06,""
"ME",2015,100,2015-04-10,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,0.715,0,0.802,0.108,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,0.000796,""
"ME",2015,114,2015-04-24,4,1,1,NA,8.34,8.53,NA,36.54,53.5,4.63,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.629,0.031,0.988,0.092,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98e-05,""
"ME",2015,114,2015-04-24,8,1,1,NA,8.32,8.51,3111,50.81,53.11,4.48,4.7,NA,NA,NA,1102,1322,49,93,13,NA,NA,NA,NA,0.647,0.037,0.978,0.081,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92e-05,""
"ME",2015,114,2015-04-24,12,1,1,NA,8.3,8.49,NA,37.83,52.11,4.81,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,0.042,0.864,0.079,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9e-05,""
